src,dst,year
1,827,2000
7,574,2000
7,5423,2000
7,9218,2000
7,11451,2000
9,430,2000
9,5740,2000
9,6846,2000
9,9800,2000
9,12614,2000
9,13118,2000
9,13119,2000
10,10286,2000
11,12,2000
11,1849,2000
11,12350,2000
12,3341,2000
12,8685,2000
12,12350,2000
13,4898,2000
13,6245,2000
13,12355,2000
13,12356,2000
15,1532,2000
15,4201,2000
20,249,2000
20,4123,2000
20,8892,2000
20,9561,2000
21,4246,2000
21,6327,2000
21,8126,2000
21,8654,2000
21,9562,2000
21,11328,2000
21,12071,2000
23,637,2000
24,193,2000
24,970,2000
24,8774,2000
24,9375,2000
24,12852,2000
26,83,2000
26,84,2000
26,433,2000
26,637,2000
26,3417,2000
28,189,2000
28,2376,2000
28,6058,2000
28,7732,2000
28,9414,2000
28,11496,2000
28,11497,2000
28,12024,2000
28,12500,2000
30,12858,2000
31,32,2000
31,9284,2000
31,11924,2000
32,9284,2000
32,11924,2000
37,12270,2000
46,2344,2000
46,11694,2000
47,9294,2000
47,12706,2000
52,2166,2000
52,2169,2000
53,6723,2000
53,8529,2000
53,10155,2000
53,12677,2000
54,9246,2000
54,12501,2000
63,713,2000
63,1181,2000
63,2635,2000
63,9050,2000
63,9330,2000
63,9524,2000
63,11954,2000
67,300,2000
67,547,2000
67,7988,2000
67,9698,2000
67,11871,2000
83,84,2000
83,305,2000
83,433,2000
83,637,2000
83,3417,2000
83,7729,2000
83,10752,2000
83,10862,2000
84,305,2000
84,433,2000
84,637,2000
84,3417,2000
84,7729,2000
84,10637,2000
84,10752,2000
84,10862,2000
84,12309,2000
93,372,2000
93,460,2000
93,839,2000
93,1815,2000
93,2567,2000
93,6769,2000
93,8346,2000
93,9562,2000
93,12261,2000
98,110,2000
98,7401,2000
98,12363,2000
108,7014,2000
108,11950,2000
110,7401,2000
110,12363,2000
115,368,2000
115,372,2000
115,1675,2000
115,3886,2000
115,12773,2000
116,1517,2000
116,1675,2000
116,5826,2000
116,6433,2000
116,11784,2000
116,12157,2000
116,12395,2000
119,8868,2000
119,13092,2000
133,7474,2000
136,3226,2000
136,8714,2000
136,12227,2000
136,12834,2000
136,13007,2000
142,12182,2000
142,12183,2000
142,13105,2000
142,13106,2000
145,827,2000
145,1143,2000
145,3867,2000
145,11415,2000
145,11416,2000
145,12069,2000
152,9002,2000
152,11881,2000
161,753,2000
161,754,2000
179,2940,2000
179,3385,2000
179,8027,2000
179,8051,2000
179,11291,2000
179,11292,2000
179,12455,2000
179,12838,2000
179,12839,2000
179,12840,2000
179,12841,2000
179,12842,2000
179,12843,2000
179,12844,2000
179,12845,2000
179,12846,2000
179,12902,2000
188,5428,2000
188,11953,2000
188,12269,2000
188,12464,2000
188,13022,2000
190,12581,2000
193,8774,2000
193,9375,2000
193,12288,2000
195,6150,2000
197,198,2000
197,3652,2000
197,5430,2000
197,12292,2000
202,1210,2000
202,1214,2000
202,3277,2000
202,6477,2000
202,7311,2000
202,8802,2000
202,12496,2000
202,12497,2000
202,12498,2000
203,1444,2000
203,3103,2000
203,6330,2000
203,12123,2000
227,10689,2000
228,11977,2000
232,10840,2000
233,445,2000
237,412,2000
237,994,2000
237,3071,2000
237,11055,2000
245,2296,2000
245,11744,2000
245,11745,2000
245,11746,2000
245,11904,2000
249,4123,2000
249,6133,2000
249,7313,2000
249,9561,2000
249,10889,2000
249,10890,2000
251,3044,2000
255,11245,2000
255,12228,2000
255,12802,2000
263,9758,2000
263,12291,2000
265,779,2000
265,1402,2000
265,7102,2000
269,12210,2000
272,2769,2000
272,6646,2000
274,688,2000
274,4084,2000
274,12459,2000
274,12613,2000
277,286,2000
277,3053,2000
277,7829,2000
277,11458,2000
277,12068,2000
279,300,2000
279,2049,2000
279,8296,2000
279,8855,2000
279,12460,2000
279,12759,2000
283,3166,2000
283,7927,2000
284,1358,2000
284,5363,2000
284,8951,2000
284,9708,2000
284,11896,2000
284,11897,2000
286,813,2000
286,891,2000
286,913,2000
286,932,2000
286,2217,2000
286,2245,2000
286,3053,2000
286,6672,2000
286,11458,2000
286,11908,2000
286,12067,2000
286,12068,2000
286,12462,2000
287,5077,2000
287,7984,2000
287,7985,2000
287,11891,2000
287,13134,2000
287,13135,2000
288,7331,2000
288,10764,2000
300,547,2000
300,1703,2000
300,4719,2000
300,7053,2000
300,7177,2000
300,8092,2000
300,9698,2000
300,11869,2000
300,11870,2000
300,12460,2000
300,12759,2000
305,433,2000
305,775,2000
305,5352,2000
305,6085,2000
305,6433,2000
305,9376,2000
305,11971,2000
307,658,2000
315,6955,2000
316,1581,2000
316,12977,2000
323,5542,2000
323,12563,2000
323,12564,2000
323,12565,2000
323,12566,2000
323,12567,2000
323,12568,2000
323,12569,2000
323,12570,2000
323,12571,2000
344,2274,2000
360,10833,2000
360,11726,2000
360,13046,2000
360,13111,2000
362,839,2000
362,12092,2000
362,12220,2000
365,2624,2000
365,2771,2000
365,6857,2000
365,7634,2000
365,13065,2000
366,5153,2000
366,8489,2000
366,13098,2000
368,372,2000
368,1675,2000
368,3886,2000
368,11833,2000
368,11834,2000
368,12773,2000
372,586,2000
372,838,2000
372,839,2000
372,1675,2000
372,3883,2000
372,3886,2000
372,6769,2000
372,12773,2000
376,646,2000
376,1227,2000
376,9588,2000
376,11236,2000
376,12178,2000
376,12179,2000
378,446,2000
378,11459,2000
378,12921,2000
380,11019,2000
380,11512,2000
384,713,2000
384,1009,2000
384,5951,2000
384,9395,2000
401,791,2000
401,960,2000
401,2573,2000
401,12514,2000
401,13023,2000
412,994,2000
412,1428,2000
412,1430,2000
412,9189,2000
415,12971,2000
425,5519,2000
425,9588,2000
425,9704,2000
425,11635,2000
425,11872,2000
425,13091,2000
427,6945,2000
427,10455,2000
427,11201,2000
427,12474,2000
427,13125,2000
429,431,2000
430,431,2000
430,664,2000
430,751,2000
430,12348,2000
431,751,2000
431,883,2000
433,637,2000
433,3417,2000
433,7729,2000
433,10752,2000
433,10862,2000
437,438,2000
437,439,2000
437,8655,2000
438,439,2000
438,8655,2000
438,9456,2000
438,12414,2000
438,12847,2000
439,8655,2000
439,9456,2000
439,11877,2000
439,12414,2000
439,12847,2000
440,2221,2000
440,11209,2000
440,12463,2000
446,11462,2000
449,6085,2000
449,9327,2000
449,9328,2000
450,1004,2000
450,1906,2000
450,1909,2000
450,12931,2000
451,2102,2000
451,2103,2000
451,3267,2000
451,5944,2000
451,5945,2000
451,6219,2000
451,7330,2000
451,10602,2000
453,5542,2000
459,1026,2000
459,12014,2000
459,13170,2000
460,2567,2000
460,6133,2000
460,6769,2000
460,7322,2000
460,9562,2000
460,12705,2000
464,1668,2000
464,2355,2000
464,6862,2000
486,2434,2000
486,6866,2000
486,6867,2000
486,10208,2000
486,11786,2000
486,11787,2000
503,733,2000
503,5196,2000
504,505,2000
504,2215,2000
504,2566,2000
504,9996,2000
504,10473,2000
504,10474,2000
504,12506,2000
504,12934,2000
505,2566,2000
505,9996,2000
505,11837,2000
505,11838,2000
505,11839,2000
505,12506,2000
511,1258,2000
511,6281,2000
511,6282,2000
511,7961,2000
518,12073,2000
522,733,2000
522,9908,2000
522,9909,2000
522,11508,2000
525,8674,2000
525,12105,2000
535,1944,2000
535,6084,2000
535,6209,2000
535,7313,2000
535,9524,2000
542,543,2000
542,3652,2000
543,1780,2000
543,3652,2000
543,4732,2000
543,10566,2000
543,11251,2000
543,12586,2000
545,2098,2000
545,4316,2000
545,5063,2000
545,5516,2000
545,6018,2000
545,7683,2000
545,10563,2000
545,11779,2000
545,11780,2000
545,12095,2000
546,547,2000
547,552,2000
547,4120,2000
547,9698,2000
551,3336,2000
551,12044,2000
551,12045,2000
552,3852,2000
552,6474,2000
552,11370,2000
553,6301,2000
553,8694,2000
553,9538,2000
559,11757,2000
568,7498,2000
569,570,2000
569,573,2000
569,2902,2000
569,3463,2000
569,3915,2000
569,5173,2000
569,6696,2000
570,573,2000
570,3463,2000
570,5173,2000
573,2902,2000
573,3463,2000
577,2542,2000
577,12832,2000
577,12833,2000
578,1286,2000
578,1414,2000
578,1549,2000
578,3026,2000
580,11036,2000
580,11754,2000
