src,dst,year
4,3538,2003
7,574,2003
7,5423,2003
7,11451,2003
7,16138,2003
9,8019,2003
9,8822,2003
10,11,2003
10,15736,2003
10,16242,2003
11,15736,2003
11,16242,2003
20,93,2003
20,15316,2003
23,637,2003
26,16436,2003
28,11497,2003
40,807,2003
47,5431,2003
83,10752,2003
83,16543,2003
84,528,2003
93,11083,2003
93,15316,2003
105,2156,2003
105,7623,2003
105,16541,2003
112,7299,2003
112,8256,2003
112,14116,2003
135,2002,2003
142,12182,2003
142,12183,2003
142,13689,2003
142,15998,2003
142,16678,2003
153,8233,2003
189,14419,2003
189,16649,2003
198,16558,2003
202,1214,2003
202,14336,2003
202,16266,2003
208,14490,2003
208,16276,2003
230,11015,2003
237,994,2003
249,11444,2003
249,12273,2003
249,16431,2003
249,16498,2003
265,3207,2003
265,3208,2003
272,2111,2003
274,10175,2003
274,12459,2003
274,16236,2003
279,2049,2003
284,16451,2003
294,295,2003
300,573,2003
300,11074,2003
300,12759,2003
314,1950,2003
314,15192,2003
376,11969,2003
376,12578,2003
384,5099,2003
384,7365,2003
384,9395,2003
385,973,2003
385,13541,2003
385,16292,2003
397,15082,2003
401,16213,2003
412,9189,2003
412,10032,2003
412,15214,2003
429,430,2003
429,431,2003
430,431,2003
432,7224,2003
432,10771,2003
438,439,2003
438,3168,2003
438,6085,2003
439,3168,2003
439,6085,2003
442,2377,2003
453,5542,2003
453,12973,2003
460,5228,2003
460,7468,2003
460,16500,2003
486,12024,2003
499,11187,2003
504,16216,2003
504,16217,2003
504,16234,2003
504,16235,2003
524,9459,2003
525,10015,2003
534,535,2003
534,7313,2003
534,7699,2003
534,15426,2003
535,5685,2003
535,7313,2003
535,7699,2003
535,8980,2003
543,11505,2003
545,7683,2003
545,16152,2003
568,5484,2003
568,5609,2003
569,570,2003
569,2177,2003
569,3177,2003
569,9353,2003
570,2177,2003
570,3177,2003
570,9353,2003
573,1321,2003
573,9690,2003
573,11074,2003
573,12759,2003
574,11451,2003
577,2542,2003
577,15981,2003
590,9711,2003
594,3089,2003
594,5587,2003
594,6154,2003
594,16219,2003
594,16220,2003
622,6042,2003
622,15159,2003
630,15040,2003
630,15813,2003
632,16576,2003
634,5633,2003
634,6579,2003
634,9992,2003
634,13747,2003
634,15990,2003
637,1517,2003
637,5971,2003
637,8754,2003
637,16710,2003
656,2514,2003
660,13810,2003
660,16291,2003
664,9058,2003
664,9296,2003
664,10819,2003
664,12121,2003
664,13068,2003
664,16636,2003
670,15580,2003
670,16440,2003
673,1610,2003
675,1361,2003
675,11983,2003
675,13476,2003
675,14992,2003
675,15792,2003
689,2408,2003
715,6282,2003
715,8948,2003
715,16326,2003
719,16233,2003
738,16582,2003
749,9528,2003
753,6846,2003
753,16542,2003
757,3558,2003
760,1664,2003
760,16493,2003
760,16494,2003
760,16495,2003
760,16503,2003
776,4280,2003
776,16164,2003
776,16620,2003
776,16621,2003
778,7759,2003
778,16696,2003
778,16697,2003
791,15216,2003
791,15239,2003
805,1330,2003
805,6002,2003
805,12106,2003
805,12632,2003
814,13191,2003
814,16264,2003
814,16265,2003
818,7320,2003
825,1322,2003
825,6590,2003
825,7632,2003
831,16385,2003
831,16386,2003
831,16387,2003
831,16388,2003
831,16389,2003
831,16390,2003
831,16391,2003
831,16392,2003
838,12944,2003
843,8658,2003
843,10660,2003
843,10664,2003
843,14894,2003
843,14896,2003
843,15829,2003
847,4059,2003
847,12288,2003
847,16251,2003
850,6191,2003
854,8362,2003
860,12859,2003
890,891,2003
890,3125,2003
891,3125,2003
912,2002,2003
919,4760,2003
919,4762,2003
919,6495,2003
921,7771,2003
921,16613,2003
921,16614,2003
921,16615,2003
948,16448,2003
948,16449,2003
973,13541,2003
973,16292,2003
985,16523,2003
1018,16443,2003
1023,3606,2003
1023,5196,2003
1079,3356,2003
1079,16626,2003
1079,16627,2003
