src,dst,year
1,827,2002
7,574,2002
7,5423,2002
7,6745,2002
7,8271,2002
7,10510,2002
7,16138,2002
9,583,2002
9,994,2002
9,1270,2002
9,7668,2002
9,14928,2002
10,14878,2002
11,15736,2002
13,6245,2002
15,1532,2002
15,4201,2002
20,93,2002
20,1815,2002
20,1949,2002
20,6288,2002
20,15316,2002
21,646,2002
21,4246,2002
21,4744,2002
21,5685,2002
21,8126,2002
21,12071,2002
23,637,2002
23,853,2002
23,16000,2002
23,16001,2002
23,16002,2002
23,16003,2002
23,16141,2002
24,83,2002
24,84,2002
24,8774,2002
24,15495,2002
26,83,2002
26,84,2002
26,193,2002
26,433,2002
26,6142,2002
26,15895,2002
28,189,2002
28,1295,2002
28,2399,2002
28,9414,2002
28,10232,2002
28,11497,2002
30,1400,2002
30,3761,2002
30,15635,2002
30,16073,2002
31,32,2002
31,9284,2002
31,11924,2002
31,14218,2002
32,9284,2002
32,11924,2002
32,14218,2002
37,3437,2002
40,13523,2002
40,16131,2002
41,9943,2002
42,115,2002
42,116,2002
42,360,2002
42,931,2002
47,2512,2002
47,9294,2002
47,12472,2002
47,14892,2002
47,15884,2002
48,49,2002
48,11258,2002
51,5099,2002
51,5970,2002
56,3370,2002
56,13732,2002
62,13551,2002
63,1181,2002
63,1815,2002
63,1949,2002
63,6288,2002
63,9330,2002
63,11954,2002
63,14449,2002
68,14765,2002
83,84,2002
83,305,2002
83,433,2002
83,637,2002
83,4009,2002
83,10752,2002
83,13859,2002
83,15080,2002
83,15081,2002
84,305,2002
84,433,2002
84,637,2002
84,15080,2002
84,15081,2002
84,15583,2002
91,1043,2002
91,8431,2002
93,460,2002
93,1949,2002
93,11083,2002
93,13519,2002
93,15316,2002
93,16072,2002
98,110,2002
101,8086,2002
101,13579,2002
101,13580,2002
101,13581,2002
101,15750,2002
101,15751,2002
108,11950,2002
108,15945,2002
112,7149,2002
112,7299,2002
112,7961,2002
112,8256,2002
112,13995,2002
112,14116,2002
112,15610,2002
112,15611,2002
112,16137,2002
114,716,2002
115,116,2002
115,360,2002
115,931,2002
116,360,2002
116,380,2002
116,931,2002
116,1517,2002
116,11784,2002
116,12157,2002
116,14721,2002
137,15078,2002
140,11541,2002
140,15100,2002
141,12122,2002
141,15927,2002
142,6745,2002
142,12183,2002
142,15084,2002
142,15998,2002
145,3867,2002
145,11415,2002
161,11238,2002
161,15759,2002
162,6071,2002
178,179,2002
178,245,2002
178,2929,2002
178,2937,2002
178,2940,2002
178,8171,2002
178,9168,2002
178,13918,2002
178,14944,2002
178,14945,2002
178,14946,2002
178,14947,2002
178,14948,2002
178,14949,2002
178,15506,2002
178,15507,2002
178,15508,2002
178,15509,2002
178,15510,2002
178,15511,2002
178,15512,2002
178,15513,2002
179,245,2002
179,2929,2002
179,2937,2002
179,2940,2002
179,5867,2002
179,6118,2002
179,7026,2002
179,7597,2002
179,8171,2002
179,9168,2002
179,9228,2002
179,11290,2002
179,11291,2002
179,11292,2002
179,13755,2002
179,13918,2002
179,14944,2002
179,14945,2002
179,14946,2002
179,14947,2002
179,14948,2002
179,14949,2002
179,15330,2002
179,15476,2002
