src,dst,year
7,2567,1999
7,5423,1999
7,11450,1999
7,11451,1999
9,1775,1999
9,2512,1999
9,5195,1999
9,7668,1999
9,8822,1999
10,11,1999
10,12,1999
10,10286,1999
11,12,1999
11,1849,1999
11,10286,1999
12,10286,1999
15,1699,1999
19,861,1999
19,2377,1999
19,4090,1999
20,93,1999
20,8892,1999
20,9561,1999
23,637,1999
24,8774,1999
24,9375,1999
24,11160,1999
26,83,1999
26,84,1999
26,433,1999
26,6018,1999
26,7385,1999
27,28,1999
27,189,1999
28,189,1999
28,1902,1999
28,2399,1999
28,3222,1999
28,6058,1999
28,6288,1999
28,11496,1999
28,11497,1999
29,30,1999
29,32,1999
30,32,1999
30,1134,1999
30,4785,1999
36,11606,1999
39,7757,1999
40,4958,1999
40,9490,1999
40,11634,1999
45,286,1999
45,913,1999
45,6672,1999
46,2344,1999
46,11694,1999
47,1778,1999
47,4574,1999
47,5002,1999
47,5430,1999
47,7164,1999
47,9015,1999
47,9294,1999
51,583,1999
51,5099,1999
51,9800,1999
52,2166,1999
52,2169,1999
53,8529,1999
56,11465,1999
62,8762,1999
62,9472,1999
63,1181,1999
67,7988,1999
67,9698,1999
68,11252,1999
83,84,1999
83,433,1999
83,637,1999
83,1600,1999
83,3417,1999
83,6057,1999
83,6929,1999
83,7385,1999
83,7729,1999
83,8196,1999
83,10372,1999
83,10549,1999
83,10550,1999
83,10637,1999
83,10638,1999
83,10639,1999
84,433,1999
84,637,1999
84,1600,1999
84,3417,1999
84,6057,1999
84,6929,1999
84,7385,1999
84,7729,1999
84,8196,1999
84,10372,1999
84,10549,1999
84,10550,1999
84,10637,1999
84,10638,1999
84,10639,1999
84,10862,1999
84,10863,1999
87,7660,1999
87,11297,1999
91,2618,1999
91,10132,1999
93,460,1999
93,1815,1999
93,3345,1999
93,3740,1999
93,9528,1999
93,10374,1999
98,11001,1999
105,108,1999
105,2156,1999
108,2156,1999
110,8336,1999
110,9805,1999
116,1675,1999
116,6433,1999
116,8124,1999
137,2001,1999
140,9304,1999
140,11541,1999
142,6745,1999
142,9304,1999
145,782,1999
145,1143,1999
145,3867,1999
145,11415,1999
145,11416,1999
146,148,1999
146,243,1999
148,243,1999
150,1026,1999
150,2465,1999
150,5726,1999
156,3934,1999
156,8375,1999
156,10489,1999
156,11677,1999
161,753,1999
161,754,1999
161,2181,1999
161,11238,1999
161,11239,1999
161,11240,1999
161,11241,1999
161,11242,1999
161,11243,1999
162,1775,1999
162,6071,1999
167,1317,1999
167,1318,1999
179,2940,1999
179,8027,1999
179,10407,1999
179,10408,1999
179,10409,1999
179,10410,1999
179,10411,1999
179,10412,1999
179,10482,1999
179,10483,1999
179,10484,1999
179,11290,1999
179,11291,1999
179,11292,1999
179,11359,1999
179,11360,1999
188,5428,1999
188,6005,1999
188,10400,1999
188,10458,1999
188,11000,1999
189,677,1999
189,10860,1999
193,486,1999
193,1352,1999
193,2434,1999
193,5077,1999
193,10208,1999
193,10822,1999
193,10922,1999
193,10923,1999
195,2724,1999
195,6150,1999
195,9745,1999
195,10400,1999
197,5430,1999
202,1214,1999
202,8802,1999
202,10004,1999
202,10005,1999
202,10975,1999
202,10976,1999
205,545,1999
205,10563,1999
224,11532,1999
224,11533,1999
227,8889,1999
227,10689,1999
232,7756,1999
232,10840,1999
233,360,1999
233,1287,1999
237,3071,1999
237,11055,1999
238,1820,1999
241,1862,1999
245,1155,1999
245,5223,1999
245,6740,1999
245,7457,1999
245,9396,1999
245,9397,1999
245,10471,1999
245,10472,1999
245,10545,1999
245,10546,1999
245,10547,1999
245,10548,1999
245,11046,1999
245,11047,1999
245,11384,1999
245,11385,1999
245,11386,1999
245,11387,1999
249,1815,1999
249,2728,1999
249,6133,1999
249,6209,1999
249,8275,1999
249,10754,1999
249,10889,1999
249,10890,1999
249,11444,1999
255,11245,1999
255,11246,1999
255,11247,1999
255,11413,1999
265,3207,1999
265,3208,1999
265,11697,1999
265,11698,1999
272,1675,1999
272,3089,1999
272,6646,1999
277,286,1999
277,2245,1999
277,11428,1999
277,11429,1999
279,2126,1999
279,8855,1999
279,10652,1999
279,10936,1999
284,1609,1999
286,813,1999
286,913,1999
286,928,1999
286,929,1999
286,2245,1999
286,5086,1999
286,6672,1999
286,11428,1999
286,11429,1999
286,11458,1999
286,11696,1999
287,288,1999
287,289,1999
287,2618,1999
287,5464,1999
287,5738,1999
287,8377,1999
287,10764,1999
287,10971,1999
288,289,1999
288,2618,1999
288,3486,1999
288,3487,1999
288,3488,1999
288,5464,1999
288,10703,1999
288,10764,1999
289,10764,1999
290,7470,1999
290,10206,1999
294,295,1999
300,573,1999
300,6567,1999
300,8296,1999
300,9201,1999
300,10617,1999
300,11012,1999
301,5844,1999
301,6108,1999
301,7556,1999
305,9097,1999
305,9529,1999
312,7872,1999
312,11075,1999
314,2176,1999
314,11031,1999
315,6955,1999
315,8108,1999
316,1581,1999
317,10628,1999
360,2595,1999
360,7880,1999
360,8768,1999
360,10648,1999
365,588,1999
365,1003,1999
365,2771,1999
365,3026,1999
365,6857,1999
365,7634,1999
365,7763,1999
365,8465,1999
365,10308,1999
366,367,1999
366,11184,1999
367,11184,1999
368,369,1999
368,838,1999
369,838,1999
372,839,1999
372,2083,1999
372,7090,1999
372,10558,1999
372,10559,1999
376,1227,1999
376,8199,1999
376,9588,1999
376,10826,1999
376,11236,1999
380,1517,1999
380,11019,1999
380,11512,1999
384,412,1999
384,484,1999
384,9329,1999
384,9330,1999
401,3796,1999
402,5402,1999
402,10866,1999
402,11417,1999
412,484,1999
412,1428,1999
412,1430,1999
412,9329,1999
412,9330,1999
415,8911,1999
415,11671,1999
415,11672,1999
415,11673,1999
417,10864,1999
417,10865,1999
425,5519,1999
425,11635,1999
427,8902,1999
427,10455,1999
427,10610,1999
429,430,1999
429,431,1999
429,11412,1999
430,431,1999
